id,x,y,color
VII_59_259_x,0.05,0.05,#1f1d1d
GEM_80_17,0.131818,0.05,#5a4946
GEM_80_3,0.213636,0.05,#998480
VII_60_662_x,0.295455,0.05,#cec4c2
VII_59_514_x,0.377273,0.05,#d3d0cf
GEM_68_25,0.459091,0.05,#2e2522
VII_60_165_x,0.540909,0.05,#25201e
VII_59_463_x,0.622727,0.05,#36221a
GEM_81_8,0.704545,0.05,#211a17
GEM_68_53,0.786364,0.05,#b2a49e
VII_60_111_x,0.868182,0.05,#382f2b
GEM_66_22,0.95,0.05,#89766d
VII_60_527_x,0.05,0.14,#4a3e38
VII_59_433_x,0.131818,0.14,#d7b29f
GS_08_5_GM,0.213636,0.14,#e5c8b9
GEM_87_2,0.295455,0.14,#2d1609
GEM_84_9,0.377273,0.14,#a18676
GEM_76_31,0.459091,0.14,#dcd9d7
GEM_66_12,0.540909,0.14,#554941
GEM_75_5,0.622727,0.14,#5e4635
GS_07_35_GM,0.704545,0.14,#cfb9a8
VII_59_758_x,0.786364,0.14,#3f2714
GEM_88_7,0.868182,0.14,#362c24
GEM_64_3,0.95,0.14,#a37956
GEM_80_2,0.05,0.23,#3e2c1d
GEM_67_2,0.131818,0.23,#634f3e
GEM_75_7,0.213636,0.23,#635549
GS_2000_28_GM,0.295455,0.23,#17100a
VII_60_273_x,0.377273,0.23,#c6ac95
VII_65_1443_x,0.459091,0.23,#625040
GEM_84_2,0.540909,0.23,#e1bf9f
SM_2012-0158,0.622727,0.23,#3b2918
VII_59_775_x,0.704545,0.23,#e1cfbd
GEM_73_2,0.786364,0.23,#544433
VII_59_747_x,0.868182,0.23,#2b1c0c
GEM_86_35,0.95,0.23,#897055
VII_59_234_x,0.05,0.32,#453b30
VII_59_773_x,0.131818,0.32,#5b3e1d
VII_59_761_x,0.213636,0.32,#88745d
GEM_70_3,0.295455,0.32,#7b6a56
VII_59_267_x,0.377273,0.32,#61503c
GEM_68_14,0.459091,0.32,#644827
VII_59_744_x,0.540909,0.32,#d2ac7f
VII_59_869_x,0.622727,0.32,#221607
VII_59_777_x,0.704545,0.32,#221e19
GEM_66_21,0.786364,0.32,#a58256
VII_59_512_x,0.868182,0.32,#604b30
GEM_86_54,0.95,0.32,#66553e
VII_59_749_x,0.05,0.41,#794c0e
GEM_89_11,0.131818,0.41,#cba673
GS_08_2_GM,0.213636,0.41,#2f281e
VII_59_806_x,0.295455,0.41,#baa88c
VII_59_830_x,0.377273,0.41,#b0a799
VII_59_261_x,0.459091,0.41,#6b6254
VII_59_483_x,0.540909,0.41,#7b6d57
GEM_88_4,0.622727,0.41,#dbc6a5
GEM_76_10,0.704545,0.41,#312717
VII_59_742_x,0.786364,0.41,#65553b
GEM_89_10,0.868182,0.41,#c0b8ab
GEM_68_43,0.95,0.41,#6b5023
VII_60_286_x,0.05,0.5,#342916
GEM_71_5,0.131818,0.5,#705c39
GEM_81_1,0.213636,0.5,#1e180d
VII_60_132_x,0.295455,0.5,#d3be97
GEM_84_1,0.377273,0.5,#6d511c
GEM_85_2,0.459091,0.5,#9b907b
VII_59_513_x,0.540909,0.5,#b4a890
GEM_86_14,0.622727,0.5,#c7b694
GEM_86_6,0.704545,0.5,#a79c86
GEM_69_17,0.786364,0.5,#c4b493
VII_59_849_x,0.868182,0.5,#45340c
VII_59_940_x,0.95,0.5,#beb7a6
VII_60_203_x,0.05,0.59,#b8a576
VII_59_804_x,0.131818,0.59,#372a08
GEM_74_10,0.213636,0.59,#95865e
GEM_81_12,0.295455,0.59,#c3b693
GEM_69_26,0.377273,0.59,#b19d67
GEM_89_25,0.459091,0.59,#544c36
GEM_93_6,0.540909,0.59,#a09b8c
GEM_71_1,0.622727,0.59,#272317
SM_2012-1240_KOU,0.704545,0.59,#a29f96
VII_59_515_x,0.786364,0.59,#978b66
GEM_66_3,0.868182,0.59,#71684b
VII_62_195_x,0.95,0.59,#877847
GEM_73_13,0.05,0.68,#99927b
VII_77_1_x,0.131818,0.68,#b3ae9b
GEM_64_9,0.213636,0.68,#b1ad9d
GEM_80_32,0.295455,0.68,#615d48
GEM_65_3,0.377273,0.68,#c8c4ae
GEM_89_24,0.459091,0.68,#959278
GEM_70_2,0.540909,0.68,#93917e
VII_60_282_x,0.622727,0.68,#24220e
VII_59_237_x,0.704545,0.68,#1c1c15
GS_98_2_GM,0.786364,0.68,#a0a195
VII_59_235_x,0.868182,0.68,#4c4e47
GEM_74_4,0.95,0.68,#a3ab93
SM_2018-09251,0.05,0.77,#dcdddb
GEM_78_1,0.131818,0.77,#c5c7c3
VII_59_745_x,0.213636,0.77,#768768
GEM_72_10,0.295455,0.77,#6b7e5e
VII_59_841_x,0.377273,0.77,#0d1b04
GEM_87_8,0.459091,0.77,#bfc4bf
GEM_75_20,0.540909,0.77,#515d54
GEM_88_41,0.622727,0.77,#2b312d
VII_60_110_x,0.704545,0.77,#103e25
VII_95_95_x,0.786364,0.77,#c9cccb
VII_61_703_x,0.868182,0.77,#afb6b7
VII_60_411_x,0.95,0.77,#6d99a0
GEM_79_44,0.05,0.86,#d6e2e4
GEM_72_16,0.131818,0.86,#87a3ac
VII_59_950_x,0.213636,0.86,#73a7c1
VII_59_497_x,0.295455,0.86,#6e7477
GEM_78_5,0.377273,0.86,#2a2d2f
GEM_80_7,0.459091,0.86,#b2d3ef
VII_59_809_x,0.540909,0.86,#acb7c1
GEM_86_15,0.622727,0.86,#a2c2e1
VII_75_130_x,0.704545,0.86,#b7bfcb
GEM_74_11,0.786364,0.86,#aab1be
GEM_91_11,0.868182,0.86,#1d1f27
SM_2011-2687,0.95,0.86,#636266
GEM_75_19,0.05,0.95,#a199a6
GEM_88_14,0.131818,0.95,#ebdeeb
VII_59_249_x,0.213636,0.95,#565254
GEM_88_9,0.295455,0.95,#67585e
VII_61_454_x,0.377273,0.95,#74575c
